Username,Email
james.smith,jsmith@gmail.com
james.smith,jsmith@hotmail.com
james.smith,jsmith@gatech.edu
james.smith,jsmith@outlook.com
michael.smith,msmith@gmail.com
robert.smith,rsmith@hotmail.com
maria.garcia,mgarcia@yahoo.com
maria.garcia,mgarcia@gatech.edu
david.smith,dsmith@outlook.com
maria.rodriguez,mrodriguez@gmail.com
mary.smith,mary@outlook.com
maria.hernandez,mh@gatech.edu
maria.hernandez,mh123@gmail.com
manager1,m1@beltline.com
manager2,m2@beltline.com
manager3,m3@beltline.com
manager4,m4@beltline.com
manager5,m5@beltline.com
staff1,s1@beltline.com
staff2,s2@beltline.com
staff3,s3@beltline.com
user1,u1@beltline.com
visitor1,v1@beltline.com
